"id","name"
"1","бункерные полувагоны"
"2","ваг.для агломер.и окатыш(МПС)"
"3","ваг.для агломер.и окатыш(Собс)"
"4","ваг.для минерал.удобрен."
"5","крытые"
"6","ПЛ для длинн. гр. с  дл.  от 19,6 до 25"
"7","платформа с дл. автосц. менее 19,6"
"8","платформы"
"9","полувагоны"
"10","хоппер-цементовозы"
"11","цистерны"
"12","цистерны цементовозы"
"13","цс для вина"
"14","цс для вязких нефтепрод"
"15","цс для меланжа"
"16","цс для метанола"
"17","цс для молока"
"18","цс для нефти и н/п"
"19","цс для патоки"
"20","цс для пищевых гр."
"21","цс для растит.масла"
"22","цс для светлых н/п"
"23","цс для серной к-ты"
"24","цс для спирта"
"25","цс для темных  н/п"
"26","цс для улучш.серной к-ты"
"27","цс для химич.гр."
"28","11 цементовозы"
"29","кр.хоппера для зерна"
"30","прочие специализированные"
"31","прочие"
"32","контейнер 5 тонный"
"33","20фут(20 тн)"
"34","20фут(24 тн)"
"35","20фут(30 тн)"
"36","30 фут"
"37","40 фут"
"38","реф контейнер"
"39","спец контейнер"

