"id","name","gng","etsng"
"1","Порожние","00000000","000000"
"2","Лошади живые убойные","01019011",""
"3","Ослы живые","01019030",""
"4","Лошаки и мулы живые","01019090",""
"5","Скот крупный рогатый живой,племенной","01021000",""
"6","Скот крупный рогатый живой,к.п.о.","01029090",""
"7","Свиньи живые","01030000",""
"8","Свиньи живые,племенные","01031000",""
"9","Свиньи живые,масса до 50кг","01039100",""
"10","Свиньи живые,масса от 50кг","01039200",""
"11","Овцы живые","01041000",""
"12","Овцы живые,племенные","01041010",""
"13","Овцы живые,к.п.о.","01041080",""
"14","Козы живые,к.п.о.","01042090",""
"15","Морские млекопитающие живые","01061200",""
"16","Млекопитающие живые","01061900",""
"17","Кролики живые,домашние","01061910",""
"18","Млекопитающие живые,к.п.о.","01061990",""
"19","Насекомые,земноводные живые","01069000",""
"20","Говядина свежая туши и полутуши","02011000",""
"21","Говядина мороженая туши и полутуши","02021000",""
"22","Говядина мороженая отруба,обваленные","02023000",""
"23","Свинина свежая,туши и полутуши,к.п.о.","02031190",""
"24","Свинина свежая,кроме туш,полутуш и отрубов позиции 0203 12","02031900",""
"25","Свинина мороженая,туши и полутуши,к.п.о.","02032190",""
"26","Баранина свежая,туши и полутуши","02042100",""
"27","Конина свежая","02050011",""
"28","Субпродукты говяжие свежие,пищевые,к.п.о.","02061099",""
"29","Мясо,субпродукты домашней птицы,свежие или мороженые","02070000",""
"30","Мясо,субпродукты дичи,к.п.о.","02089040",""
"31","Мясо,субпродукты свежее или мороженое,к.п.о.","02089095",""
"32","Жир свиной,отделенный от тощего мяса,и жир домашней птицы,свежие,мороженые,соленые,сушеные или копченые","02090000",""
"33","Жир свиной,подкожный,свежий и мороженый","02090011",""
"34","Мясо животных соленое,сушеное или копченое,к.п.о.","02109939",""
"35","Рыба живая","03010000","571034"
"36","Рыба декоративная живая","03011000",""
"37","Форель живая","03019100",""
"38","Рыба свежая","03026900",""
"39","Печень,икра и молоки рыб свежие","03027000",""
"40","Рыба мороженая,кроме указанной в позициях 0303 11 - 0303 78","03037900",""
"41","Филе форели свежее","03041011",""
"42","Филе рыб сушеное и соленое,к.п.о.","03053090",""
"43","Сельдь копченая","03054200","573109"
"44","Рыба копченая,кроме лосося и сельди","03054900",""
"45","Рыба копченая,к.п.о.","03054980",""
"46","Рыба сушеная","03055900","573097"
"47","Рыба сушеная,к.п.о.","03055990",""
"48","Сельдь соленая","03056100","573114"
"49","Рыба соленая","03056900",""
"50","Омары мороженые","03061200",""
"51","Креветки и пильчатые креветки мороженые","03061300",""
"52","Крабы мороженые","03061400",""
"53","Раки пресноводные мороженые","03061910",""
"54","Устрицы живые,свежие,мороженые,сушеные,соленые","03071000",""
"55","Беспозвоночные водные,кроме указанных в позициях 0307 10 - 0307 91","03079900",""
"56","Молоко,сливки,несгущенные и без добавления подслащивающих веществ","04010000",""
"57","Молоко,сливки,несгущенные,без сахара,жир до 1%","04011000",""
