"id","code","name","short_name","country_id"
"1","66223","№ 10","","1"
"2","66313","№ 10-Г","","1"
"3","75341","№ 100","","2"
"4","69021","№ 101","","1"
"5","67058","№ 103","","1"
"7","75361","№ 105","","2"
"8","75363","№ 108","","2"
"9","70821","№ 11","","1"
"11","75383","№ 112","","2"
"12","69974","№ 115","","1"
"13","70893","№ 12","","1"
"15","66315","№ 12-Г","","1"
"16","75395","№ 121","","2"
"17","75410","№ 123","","2"
"18","75421","№ 124","","2"
"19","69672","№ 125","","1"
"20","69673","№ 126","","1"
"22","75425","№ 129","","2"
"23","72722","№ 13","","3"
"24","72332","№ 134","","3"
"25","72321","№ 135","","3"
"26","67183","№ 14","","1"
"29","71600","№ 141","","4"
"31","71611","№ 142","","4"
"33","73021","№ 143","","3"
"34","71621","№ 144","","4"
"35","73031","№ 145","","3"
"36","73032","№ 146","","3"
"37","71752","№ 148","","4"
"39","70883","№ 15","","1"
"43","73312","№ 151","","3"
"44","74902","№ 155","","2"
"45","74911","№ 156","","2"
"46","74961","№ 158","","2"
"47","70881","№ 16","","1"
"51","74971","№ 160","","2"
"52","73483","№ 163","","3"
"53","75741","№ 170","","2"
"54","75742","№ 171","","2"
"55","75771","№ 174","","2"
"56","75772","№ 175","","2"
"57","75782","№ 176","","2"
"58","75813","№ 178","","2"
"59","72741","№ 18","","3"
"60","73742","№ 180","","3"
"61","70813","№ 2","","1"
"63","67211","№ 20","","1"
"65","70871","№ 21","","1"
"68","70868","№ 22","","1"
"69","72811","№ 23","","3"
"70","70866","№ 24","","1"
"72","67251","№ 26","","1"
"73","70863","№ 27","","1"
"74","72850","№ 28","","3"
"75","70861","№ 29","","1"
"77","70923","№ 3","","1"
"79","67272","№ 30","","1"
"82","66881","№ 307","","1"
"83","70801","№ 31","","1"
"85","66883","№ 310","","1"
"86","66020","№ 315","","1"
"87","73132","№ 32","","3"
"88","70271","№ 33","","1"
"90","73121","№ 36","","3"
"91","69761","№ 37","","1"
"92","73110","№ 38","","3"
"93","73101","№ 39","","3"
